"Site_No","Site Name","Site","Period","N_GHI","N_Total","Reference","Period_No"
46,"Kharab Sayyar","Kharab Sayyar","EBA",4,12,"Vila 2010",5
47,"Kurban","Kurban III","EBA",11,25,"Wattenmaker 1987",5
48,"Kurban","Kurban IV","EBA",9,21,"Wattenmaker 1987",5
49,"Kutan","Kutan","EBA",72,193,"Helmer and Gourichon 2007",5
50,"Lidar Höyük","Lidar Höyük","EBA",11,53,"Kussinger 1988 Dissertation p. 58",5
51,"Mari","Mari","EBA",34,117,"Helmer and Gourichon 2007",5
52,"Mishrife (Qatna)","Mishrife","EBA",12,40,"Helmer and Gourichon 2007",5
53,"Raqai (levels 2-5)","Raqai","EBA",7,44,"Rufolo 2011: 468",5
54,"Rawda","Rawda","EBA",23,141,"Helmer and Gourichon 2007",5
55,"Sweyhat Main,","Sweyhat","EBA",12,27,"Weber Dissertation p.229",5
56,"Sweyhat post-Main","Sweyhat","EBA",7,18,"Weber Dissertation p.229",5
57,"Sweyhat V and IV (EB IV)","Sweyhat","EBA",19,78,"Buitenhuis 1983: 139",5
58,"Tell Bderi","Tell Bderi","EBA",20,47,"Omar 2017",5
59,"Tell Beydar","Tell Beydar","EBA",4,15,"DeCupere and Van Neer",5
60,"Tell Chuera, Sect. H+K, EJ III-IV","Tell Chuera","EBA",6,20,"Vila 2010",5
61,"Tell Chuera, Sect. H+K, EJ 0-I","Tell Chuera","EBA",6,25,"Vila 2010",5
62,"Tell Chuera, Sect. H+K, EJ II","Tell Chuera","EBA",16,43,"Vila 2010",5
63,"Tell Chuera, Sect. A (Steinbau 1)","Tell Chuera","EBA",23,57,"Vila 1995",5
64,"Tell Halawa Tell A Schnict 3 (2300-2200, Houses and Temple)","Tell Halawa","EBA",6,26,"Boessneck and von den Driesch 1989",5
65,"Tell Halawa Tell B (2700-2500; Temple and Houses)","Tell Halawa","EBA",59,329,"Boessneck and von den Driesch 1989",5
66,"Tell Knedig","Tell Knedig","EBA",17,80,"Helmer and Gourichon 2007",5
67,"Tell Razuk, ED I-II","Tell Razuk","EBA",8,36,"Boessneck 1987",5
68,"Tell Shiukh Fawqani","Tell Shiukh Fawqani","EBA",21,45,"Helmer and Gourichon 2007; Vila 2005",5
69,"Tell Tuqan","Tell Tuqan","EBA",18,45,"Minniti 2014",5
70,"Titris Hoyuk","Titris Hoyuk","EBA",2,15,"Trella Dissertation p. 261",5
71,"Titris Hoyuk","Titris Hoyuk","EBA",3,24,"Trella Dissertation p. 260",5
72,"Hirbemerdon Tepe","Hirbemerdon Tepe","MBA",22,48,"Berthon 2011",6
73,"Kenan Tepe","Kenan Tepe","MBA",20,41,"Berthon 2011",6
74,"Lidar Höyük","Lidar Höyük","MBA",25,116,"Kussinger 1988 Dissertation p. 58",6
75,"Tell Halawa Tell A Schnict 2 (2000-1800, Houses)","Tell Halawa","MBA",2,12,"Boessneck and von den Driesch 1989",6
76,"Tell Tuqan","Tell Tuqan","MBA",25,59,"Minniti 2014",6
77,"Turbe Hoyuk","Turbe Hoyuk","MBA",4,17,"Berthon2011",6
